uri,nome,cognome,patronimico,genere_inferito
https://florentiaillustrata.net/resource/person/Andrea_Odet,Andrea,Odet,Gaetano,F
https://florentiaillustrata.net/resource/person/Antonio_Ulivi,Antonio,Ulivi,Luigi,F
https://florentiaillustrata.net/resource/person/Francesco_Masini,Francesco,Masini,Giovan Battista,F
https://florentiaillustrata.net/resource/person/Annunziata_Meucci,Annunziata,Meucci,Giuseppe,F
https://florentiaillustrata.net/resource/person/Giovanni_Vantini,Giovanni,Vantini,Giuliano,F
https://florentiaillustrata.net/resource/person/Cesare_Cappelli,Cesare,Cappelli,Gaspero,F
https://florentiaillustrata.net/resource/person/Ferdinando_Giovacchini,Ferdinando,Giovacchini,Michele,F
https://florentiaillustrata.net/resource/person/Paolo_Ponziani,Paolo,Ponziani,Paolo,F
https://florentiaillustrata.net/resource/person/Paolo_Malenotti,Paolo,Malenotti,Ciriaco,F
https://florentiaillustrata.net/resource/person/Antonio_Nozzoli,Antonio,Nozzoli,Michele,F
https://florentiaillustrata.net/resource/person/Vincenzo_Rossi,Vincenzo,Rossi,Jacopo,F
https://florentiaillustrata.net/resource/person/Antonio_Guidotti,Antonio,Guidotti,Galgano,F
https://florentiaillustrata.net/resource/person/Francesco_Galassi,Francesco,Galassi,Giuseppe,F
https://florentiaillustrata.net/resource/person/Luigi_Taddei,Luigi,Taddei,,F
https://florentiaillustrata.net/resource/person/Giuseppe_Benelli,Giuseppe,Benelli,Luigi,F
https://florentiaillustrata.net/resource/person/Luca_Bandini,Luca,Bandini,Andrea,F
https://florentiaillustrata.net/resource/person/Giuseppe_Guagni,Giuseppe,Guagni,Filippo,F
https://florentiaillustrata.net/resource/person/Biagio_Chiocchini,Biagio,Chiocchini,Michelangelo,F
https://florentiaillustrata.net/resource/person/Carlo_Ginori_Lisci,Carlo,Ginori Lisci,Lorenzo,F
https://florentiaillustrata.net/resource/person/Antonio_Ristori,Antonio,Ristori,Francesco,F
https://florentiaillustrata.net/resource/person/Pasquale_Martini,Pasquale,Martini,Luigi,F
