"specie_pro","macro_categoria"
"piazza","spazio aperto"
"piano terreno (porzione)","spazio aperto verde"
"sodo","spazio aperto verde"
"scuola e corte","spazio aperto"
"casa a terreno e corte","fabbricato urbano"
"compagnia","spazio religioso"
"bottega e stanze","fabbricato urbano"
"orto con guindolo","fabbricato urbano"
"partoria","servizi"
"parterre","spazio aperto verde"
"casa, corte e fabbricato","fabbricato urbano"
"conservatorio","acque"
"casa e corte parte di 3","fabbricato urbano"
"siti","fabbricato urbano"
"seminativo vitato, olivato","spazio aperto verde"
"casa e stalla","fabbricato urbano"
"recinto alla Porta S. Giorgio","fabbricato urbano"
"boschetto","spazio aperto verde"
"bottega (porzione)","attività"
"casa a terreno e 1r piano","fabbricato urbano"
"lavorativo vitato, fruttato e olivato","spazio aperto verde"
"palazzo con corte, rimessa e annessi","fabbricato urbano"
"prato e uccelliera","fabbricato urbano"
"prativo","spazio aperto verde"
"scala a comune","fabbricato urbano"
"rimessa, corte e stalla","fabbricato urbano"
"pollaio","fabbricato urbano"
"fondi e botteghe","fabbricato urbano"
"osteria e fabbricato","fabbricato urbano"
"pastura alberata","spazio aperto verde"
"stanze del peso pubblico","fabbricato urbano"
"compagnia e corte","spazio religioso"
"terreno e 13 piano","spazio aperto verde"
"canonica e convento","spazio religioso"
"magazzini","fabbricato urbano"
"stanza mortuaria","fabbricato urbano"
"cappella","spazio religioso"
"orto, corte e fabbricato","fabbricato urbano"
"casamento","fabbricato urbano"
"bottega e corte","spazio aperto"
"libreria","servizi"
"fabbricato e corte a comune","fabbricato urbano"
"giardino","spazio aperto verde"
"rimessa e stalla","fabbricato urbano"
"lavorativo vitato, pioppato con frutti","spazio aperto verde"
"casa a terreno, corte e magazzino","fabbricato urbano"
"rondC e loggiato","fabbricato urbano"
"rimessa e fienile","fabbricato urbano"
"fabbricato (porzione)","fabbricato urbano"
"loggia (porzione)","fabbricato urbano"
"vasca e giardino","spazio aperto verde"
"nicchia prativa","spazio aperto verde"
"stalla e magazzino","fabbricato urbano"
"lavorativo vitato, pioppato e olivato","spazio aperto verde"
"scuola","servizi"
"canneto","spazio aperto verde"
"rimessa (porzione)","fabbricato urbano"
"fabbricato","fabbricato urbano"
"corte e fabbricato","fabbricato urbano"
"ingresso e fabbricato","fabbricato urbano"
"loggia e fabbricato","fabbricato urbano"
"passare e casa","fabbricato urbano"
"suolo a pastura","spazio aperto verde"
"androne","fabbricato urbano"
"viottola","spazio aperto"
"palazzo, rimessa, scuderia e corte","fabbricato urbano"
"casa, corte e rimessa","fabbricato urbano"
"fabbrica","attività"
"andito e corte","fabbricato urbano"
"casa e passare","fabbricato urbano"
"stanza dei gabellini","fabbricato urbano"
"cimitero","spazio religioso"
"due stanze","fabbricato urbano"
"scuderie e corte","spazio aperto"
"bosco","spazio aperto verde"
"passare e corte","fabbricato urbano"
"caserma","servizi"
"gabellino e torre","fabbricato urbano"
"monastero","spazio religioso"
"plantarnari","spazio aperto verde"
"torre","fabbricato urbano"
"casa e corte a comune","fabbricato urbano"
"sodo e piazza","spazio aperto verde"
"sito coperto","fabbricato urbano"
"pian terreno e 1p piano","fabbricato urbano"
"pastura","spazio aperto verde"
"stradella","spazio aperto"
"casa, corte e casotto","fabbricato urbano"
"stanzone e vasca","fabbricato urbano"
"orto vitato e pomato","spazio aperto verde"
"villino","fabbricato urbano"
"stanza a terreno e sotterranei","fabbricato urbano"
"uccelliera","fabbricato urbano"
"lavorativo vitato, olivato, fruttato","spazio aperto verde"
"lav (lavorativo) spogliato","spazio aperto verde"
"sodivo con gelsi","spazio aperto verde"
"palazzo, rimessa e cortile","fabbricato urbano"
"ingresso all'orto","fabbricato urbano"
"androne e casa","fabbricato urbano"
"spiazzo","spazio aperto"
"caffeaus e corte","fabbricato urbano"
"viali","spazio aperto"
"seminativo fruttato","spazio aperto verde"
"bosco ceduo","spazio aperto verde"
"forno e magazzino","fabbricato urbano"
"casa da lavorativo","fabbricato urbano"
"ingresso, corte e casa","fabbricato urbano"
"bindolo","acque"
"casa e annessi","fabbricato urbano"
"quartiere e corte","fabbricato urbano"
"luogo di delizia","spazio aperto verde"
"orto e bottega","spazio aperto verde"
"parte di una concia","attività"
"parte di pian terreno","fabbricato urbano"
"terreno e casa","fabbricato urbano"
"palazzo e corte","fabbricato urbano"
"stanze d'uso di stalla","fabbricato urbano"
"rimessa e bottega","fabbricato urbano"
"sala di artifizio","fabbricato urbano"
"lavorativo vitato, pomato","spazio aperto verde"
"sodo fruttato, olivato","spazio aperto verde"
"convento e corte","spazio religioso"
"madiella","attività"
"stanza","fabbricato urbano"
"casino","fabbricato urbano"
"stalla e corte","spazio aperto"
"chiesa e corte","spazio religioso"
"stradello e viale","spazio aperto"
"magazzino (porzione)","fabbricato urbano"
"magazzino","fabbricato urbano"
"casa, terreno e corte","fabbricato urbano"
"palazzo con rimessa, scuderia ed annessi","fabbricato urbano"
"lavorativo con piantoni di olivo","spazio aperto verde"
"infermeria","servizi"
"metropolitana","spazio aperto"
"arsenale, rimessa e corte","fabbricato urbano"
"orto vitato, fruttato","spazio aperto verde"
"orto e stanzone","fabbricato urbano"
"bottega e magazzino","fabbricato urbano"
"stalla e rimessa","fabbricato urbano"
"tabernacolo","spazio religioso"
"lavorativo vitato, fruttato","spazio aperto verde"
"stanza dell'anziano","fabbricato urbano"
"casa e corticella","fabbricato urbano"
"casa e magazzino","fabbricato urbano"
"spezieria e corte","spazio aperto"
"stabile (porzione)","fabbricato urbano"
"granaio","fabbricato urbano"
"grotta","fabbricato urbano"
"casa per i cappellani","fabbricato urbano"
"teatro e stanza annessa","fabbricato urbano"
"quartiere","fabbricato urbano"
"casetta","fabbricato urbano"
"fabbricato per gli agrari","fabbricato urbano"
"luogo di comodo","attività"
"rimessa, cortile e annessi","fabbricato urbano"
"casamento con forni annessi","fabbricato urbano"
"fonte","acque"
"casa, bottega e forno","fabbricato urbano"
"farmacia e orto","spazio aperto verde"
"casa e ingresso a comune","fabbricato urbano"
"teatro e annessi","servizi"
"fabbricato per la cascina","fabbricato urbano"
"oratorio, compagnia e annessi","spazio religioso"
"orto","spazio aperto verde"
"stanzone e corte","fabbricato urbano"
"guindolo e aia","fabbricato urbano"
"pratello","spazio aperto verde"
"lavorativo coltivato","spazio aperto verde"
